Timestamp/s  Throughput  Mean Latency/ms
1540072214   2596        217       
1540072215   1937        238       
1540072216   2562        196       
1540072217   2153        278       
1540072218   973         461       
1540072219   1924        270       
1540072220   2008        250       
1540072221   2356        208       
1540072222   2405        224       
1540072223   1375        416       
1540072224   2337        392       
1540072225   2463        189       
1540072226   2389        199       
1540072227   2225        220       
1540072228   2310        236       
1540072229   2111        224       
1540072230   2281        215       
1540072231   2361        213       
1540072232   2212        215       
1540072233   1939        251       
1540072234   2500        204       
1540072235   2521        258       
1540072236   2134        254       
1540072237   2429        218       
1540072238   2643        209       
1540072239   1878        305       
1540072240   1402        348       
1540072241   1934        278       
1540072242   2564        204       
1540072243   2417        199       
1540072244   1855        231       
1540072245   2657        167       
1540072246   2310        183       
1540072247   2536        180       
1540072248   2774        163       
1540072249   2480        195       
1540072250   1242        324       
1540072251   2771        170       
1540072252   2852        170       
1540072253   2798        172       
1540072254   2906        175       
1540072255   2904        180       
1540072256   2859        172       
1540072257   2978        172       
1540072258   3044        168       
1540072259   2415        211       
1540072260   2800        182       
1540072261   2870        181       
1540072262   2224        224       
1540072263   2759        185       
1540072264   2727        190       
1540072265   2290        218       
1540072266   2787        186       
1540072267   2851        180       
1540072268   2960        168       
1540072269   3138        164       
1540072270   3054        171       
1540072271   3047        163       
1540072272   3085        165       
1540072273   2951        174       
1540072274   3034        168       
1540072275   3023        167       
1540072276   3084        167       
1540072277   2183        230       
1540072278   2450        212       
1540072279   2583        198       
1540072280   3039        168       
1540072281   3088        165       
1540072282   3079        168       
1540072283   3049        167       
1540072284   2960        171       
1540072285   3002        170       
1540072286   3067        165       
1540072287   3112        165       
1540072288   3083        167       
1540072289   3049        168       
1540072290   3052        166       
1540072291   3071        165       
1540072292   3157        168       
1540072293   3075        167       
1540072294   2784        182       
1540072295   3141        162       
1540072296   2900        176       
1540072297   3112        162       
1540072298   3061        167       
1540072299   3077        164       
1540072300   3095        166       
1540072301   3185        160       
1540072302   3182        163       
1540072303   3054        165       
1540072304   3164        162       
1540072305   2845        178       
1540072306   3153        161       
1540072307   2852        178       
1540072308   3143        160       
1540072309   2938        174       
1540072310   3140        166       
1540072311   3227        161       
1540072312   3176        155       
1540072313   3271        158       
1540072314   3192        162       
1540072315   3125        163       
1540072316   3224        154       
1540072317   3280        158       
1540072318   2629        195       
1540072319   3047        168       
1540072320   3105        164       
1540072321   3117        168       
1540072322   3006        170       
1540072323   3069        163       
1540072324   3043        165       
1540072325   3067        167       
1540072326   3198        157       
1540072327   3223        162       
1540072328   3081        163       
1540072329   3229        158       
1540072330   3246        157       
1540072331   3039        167       
1540072332   2957        178       
1540072333   2984        168       
1540072334   3203        160       
1540072335   2685        187       
1540072336   3203        159       
1540072337   3303        155       
1540072338   3301        154       
1540072339   3209        159       
1540072340   3208        175       
1540072341   2510        185       
1540072342   3150        168       
1540072343   3164        160       
1540072344   3057        184       
1540072345   2942        172       
1540072346   2582        192       
1540072347   1921        280       
1540072348   1987        228       
1540072349   2626        193       
1540072350   2896        181       
1540072351   1737        283       
1540072352   2677        186       
1540072353   3060        169       
1540072354   2571        195       
1540072355   2902        174       
1540072356   3315        155       
1540072357   3356        154       
1540072358   3287        156       
1540072359   3289        155       
1540072360   1782        307       
1540072361   2186        213       
1540072362   2846        181       
1540072363   2503        207       
1540072364   2710        190       
1540072365   2422        211       
1540072366   1695        353       
1540072367   840         550       
1540072368   2227        206       
1540072369   2849        183       
1540072370   2586        199       
1540072371   839         682       
1540072372   1011        501       
1540072373   1916        239       
1540072374   2343        216       
1540072375   2977        170       
1540072376   2944        177       
1540072377   3196        158       
1540072378   3164        164       
1540072379   2147        248       
1540072380   2044        263       
1540072381   2499        240       
1540072382   2593        260       
1540072383   2537        189       
1540072384   2693        174       
1540072385   2621        199       
1540072386   2512        198       
1540072387   2538        192       
1540072388   2585        197       
1540072389   2612        190       
1540072390   2644        206       
1540072391   2750        185       
1540072392   2751        199       
1540072393   1629        298       
1540072394   2233        197       
1540072395   2381        185       
1540072396   2817        162       
1540072397   3078        153       
1540072398   3326        151       
1540072399   3383        151       
1540072400   3404        149       
1540072401   3387        155       
